CO-OP,Folio,ACC Ref,Acc Number,NEXGRO COMPANY,PRODUCT FOR FOLIO
AFGRI,118268,931057,,UNIGRAIN,All Commodities
AFGRI,158505,955023,,UNIGRAIN COMMODITIES,WHEAT
AFGRI,2838416,912398,304483,UNIGRAIN,White Maize
AFGRI,2864370,912483,307060,UNIGRAIN,WHEAT
AFGRI,2867704,912512,309091,UNIGRAIN,SOYA & SUNFLOWER
AFGRI,2816302,912098,309570,UNIGRAIN,"Sorghum, FeedMaize, Barley"
AFGRI,2811894,912685,311263,UNIGRAIN,WM & YM Non GMO's
AFGRI,2838429,912399,312284,UNIGRAIN,YELLOW MAIZE
AFGRI,148911,941715,327245,UNIGRAIN COMMODITIES,ABSA BANK LTD / INGRAIN SA
AFGRI,2838416,912398,335984,UNIGRAIN,White Maize
AFGRI,2816302,912098,336462,UNIGRAIN,"Sorghum, FeedMaize, Barley"
AFGRI,2838429,912399,336894,UNIGRAIN,YELLOW MAIZE
AFGRI,2867704,912512,341631,UNIGRAIN,SOYA & SUNFLOWER
AFGRI,2811894,912685,343158,UNIGRAIN,WM & YM Non GMO's
AFGRI,2864370,912483,343643,UNIGRAIN,WHEAT
AFGRI,148911,941715,344323,UNIGRAIN COMMODITIES,ABSA BANK LTD / INGRAIN SA
AFGRI,158506,955025,360797,AGI,BARLEY
AFGRI,158506,955025,360798,AGI,BARLEY
AFGRI,9405257,963157,369015,NEXGRO BEMARKING,All Commodities
AFGRI,9405257,963157,369017,NEXGRO BEMARKING,All Commodities
AFGRI,160238,963824,369919,NEXGRO BEMARKING,WM & YM Non GMO's
AFGRI,160238,963824,369921,NEXGRO BEMARKING,All Commodities
AFGRI,165312,964115,370216,AGI,All Commodities
AFGRI,165312,964115,370218,AGI,All Commodities
BKB Grainco,B257201-G301,,,NEXGRO BEMARKING,All Commodities
BKB Grainco,B114249-G301,,UNI005,UNIGRAIN COMMODITIES,All Commodities
BKB Grainco,B114249-G301,,UNI009,UNIGRAIN,All Commodities
BKB Grainco,627:044764,,UNI009,UNIGRAIN,All Commodities
GRAIN MANAGEMENT,NEX021,,,NEXGRO BEMARKING,All Commodities
GRAIN MANAGEMENT,UNI043,,,UNIGRAIN,All Commodities
GWK,56786,,,UNIGRAIN,All Commodities
GWK,7362400,,,NEXGRO BEMARKING,All Commodities
KAAP AGRI,23559,,,UNIGRAIN,All Commodities
NWK,X200914NEX,,,NEXGRO BEMARKING,All Commodities
NWK,V000068UNI,,,UNIGRAIN,All Commodities
NWK,ZD01186UNI,,,UNIGRAIN,All Commodities
NWK,X960807UNI,,,UNIGRAIN,All Commodities
NWK,ZL00144GRA,,,UNIGRAIN,All Commodities
OOS-VRYSTAAT KOOPERASIE,415520,,,NEXGRO BEMARKING,All Commodities
OOS-VRYSTAAT KOOPERASIE,852213,,,UNIGRAIN,All Commodities
OVERBERG AGRI,85391,,,UNIGRAIN,?
OVERBERG AGRI,805247,,,NEXGRO BEMARKING,All Commodities
OVERBERG AGRI,104140,,,UNIGRAIN,All Commodities
OVERBERG AGRI,750336,,,ABSA / UNIGRAIN,BARLEY
OVERBERG AGRI,802836,,,AGI,BARLEY
OVERBERG AGRI,802962,,,AGI,BARLEY
PROCURO,GC0049,,,AGI,All Commodities
PROCURO,GC0058,,,NEXGRO BEMARKING,All Commodities
PROCURO,GC0020,,,UNIGRAIN,All Commodities
PROCURO,GC0001,,,UNIGRAIN COMMODITIES,All Commodities
SENTRAAL SUID KOOPERASIE,9052,,,ABSA / AGI,All Commodities
SENTRAAL SUID KOOPERASIE,9072,,,ABSA / UNIGRAIN,All Commodities
SENTRAAL SUID KOOPERASIE,9755,,,AGI,All Commodities
SENTRAAL SUID KOOPERASIE,9101,,,NEXGRO BEMARKING,All Commodities
SENTRAAL SUID KOOPERASIE,9076,,,UNIGRAIN,All Commodities
SENTRAAL SUID KOOPERASIE,9751,,,UNIGRAIN COMMODITIES,All Commodities
SENWES,534511,534511,,ABSA / AGI,All Commodities
SENWES,531221,531221,,ABSA / UNIGRAIN,All Commodities
SENWES,534117,,,AGI,All Commodities
SENWES,534117,,,AGI,All Commodities
SENWES,418635,,,AGI,All Commodities
SENWES,424782,,,NEXGRO BEMARKING,All Commodities
SENWES,401664,,,UNIGRAIN,All Commodities
SENWES,530268,,,UNIGRAIN,All Commodities
SENWES,401664,,,UNIGRAIN,All Commodities
SENWES,530268,,,UNIGRAIN,All Commodities
SILOSTRAT,22229,,,NEXGRO BEMARKING,All Commodities
SILOSTRAT,00613,,,UNIGRAIN,All Commodities
SILOSTRAT,21704,,,UNIGRAIN COMMODITIES,All Commodities
TWK,820449,,,UNIGRAIN,All Commodities
TWK,821982,,,NEXGRO BEMARKING,All Commodities
VKB,N0560162,,N0560162,UNIGRAIN,All Commodities
VKB,N2880370,,N2880370,UNIGRAIN,All Commodities
VKB,N3064904,,N3064904,ABSA / UNIGRAIN,All Commodities
VKB,N3104974,,N3104974,NEXGRO BEMARKING,All Commodities
Bricks,798073G,3278980,3092221,BKB,Barley
COFCO,4910211905,,N3104974,NEXGRO BEMARKING,All Commodities
COFCO,4910211905,,N3104974,NEXGRO BEMARKING,All Commodities
Imani Olowe,12345,,N3104974,NEXGRO BEMARKING,All Commodities
Sbusiso,3200,,N3104974,NEXGRO BEMARKING,All Commodities
Silostrat (Pty) Ltd,00613,00613,UNIGRAIN,All Commodities
PROCURO,GC0020,,GC0020,UNIGRAIN,All Commodities
Milne Trust,1609,,1609,NEXGRO BEMARKING,All Commodities
Nexgro Graanbestuur (Pty) Ltd t/a Nexgro Die Bult,NEX021,,NEX021,NEXGRO BEMARKING,All Commodities
Nexgro Graanbestuur (Pty) Ltd t/a Nexgro Die Bult,9052Q1,,9052Q1,ABSA / AGI,All Commodities
JJ Potgieter Storage Pty (LTD),4190196206,,4190196206,NEXGRO BEMARKING,All Commodities
ABSA- UNIGRAIN BARLEY,9052Q1,,419019052Q196206,NEXGRO BEMARKING,All Commodities
OOS-VRYSTAAT KAAP, 9052Q1,,419019052Q196206,NEXGRO BEMARKING,All Commodities