Silo Name,Folio Account Number,Supplier,Client Company,Invoice number,Document Type,Invoice Date,Units,Price,Total Excl,Vat,Total Incl,Total Invoice,Item Description
,UNI001,DOORNKORP SILO (PTY) LTD,Unigrain,IN100039,Tax Invoice,2024-10-31,,,4452.0,667.8,5119.8,5119.8,"Stoorkoste - Unigrain
October 2024"
,UNI001,DOORNKORP SILO (PTY) LTD,Unigrain,IC100005,Credit Note,2024-06-30,326.52,6.75,2176.81,326.52,2503.33,2503.33,"Stoorkoste - Unigrain
YM1 May 2024"
,400-401664,Senwes,UNIGRAIN PTY LTD,9552018724,Tax Invoice,2024-05-08,6.56,72.89,478.16,71.72,548.88,548.88,Verwyder Giftige Sade Soja 2-10%
Oberholzer Silo,400-424782,Senwes,,9551859909,Tax Invoice,02.05.2024,36.96,,90.18,13.53,103.71,103.71,Dagopberging witmielies
Magogong Silo,400-418635,Senwes,AFRICAN GRAIN INVESTMENTS PTY LTD,9550919349,Tax Invoice,2024-03-31,16.867,,,0.0,0.0,,Voergars Genie
Magogong Silo,400-418635,Senwes,AFRICAN GRAIN INVESTMENTS PTY LTD,9550919349,Tax Invoice,2024-03-31,,,,0.0,0.0,,Voergars Coctail
Magogong Silo,400-418635,Senwes,AFRICAN GRAIN INVESTMENTS PTY LTD,9550919349,Tax Invoice,2024-03-31,,,,0.0,0.0,,Voergars Agulhas
Magogong Silo,400-418635,Senwes,AFRICAN GRAIN INVESTMENTS PTY LTD,9550919349,Tax Invoice,2024-03-31,,,,0.0,0.0,,Voergars Belgravia
Magogong Silo,400-418635,Senwes,AFRICAN GRAIN INVESTMENTS PTY LTD,9550919349,Tax Invoice,2024-03-31,,,,0.0,0.0,,Voergars Devron
Magogong Silo,400-418635,Senwes,AFRICAN GRAIN INVESTMENTS PTY LTD,9550919349,Tax Invoice,2024-03-31,,,,0.0,0.0,,Voergars Erika
Magogong Silo,400-418635,Senwes,AFRICAN GRAIN INVESTMENTS PTY LTD,9550919349,Tax Invoice,2024-03-31,,,,0.0,0.0,,Voergars Elim
Magogong Silo,400-418635,Senwes,AFRICAN GRAIN INVESTMENTS PTY LTD,9550919349,Tax Invoice,2024-03-31,,,,0.0,0.0,,Voergars Errigal
Magogong Silo,400-418635,Senwes,AFRICAN GRAIN INVESTMENTS PTY LTD,9550919349,Tax Invoice,2024-03-31,,,,0.0,0.0,,Voergars Grace
Magogong Silo,400-418635,Senwes,AFRICAN GRAIN INVESTMENTS PTY LTD,9550919349,Tax Invoice,2024-03-31,,,,0.0,0.0,,Voergars Hessekwa
Magogong Silo,400-418635,Senwes,AFRICAN GRAIN INVESTMENTS PTY LTD,9550919349,Tax Invoice,2024-03-31,,,,0.0,0.0,,Voergars Irina
Magogong Silo,400-418635,Senwes,AFRICAN GRAIN INVESTMENTS PTY LTD,9550919349,Tax Invoice,2024-03-31,,,,0.0,0.0,,Voergars Overture
Viljoenskroon Silo nr 3,400-424782,Senwes,NEXGRO BEMARKING PTY LTD,9555999098,Tax Credit Memo,15.01.2025,73.149,92.0,6729.71,1009.46,7739.17,7739.17,SACTA Heffing Soja
Leeudoringstad Silo,530268,UNIGRAIN PTY LTD,,9551050719,Tax Credit Memo,2024-04-02,34000,5194.72,176620.48,0.0,176620.48,176620.48,Wit mielies graad 1 KP_VRD
Middelvlei Silo,610-534117,Senwes,AFRICAN GRAIN INVESTMENTS PTY LTD,9549307137,Tax Credit Memo,2022-12-22,1.0,3048.62,3048.62,457.29,3505.91,3505.91,Hantering gars
,00613,Silostrat (Pty) Ltd,Unigrain (Pty) Ltd.,INV66370,TAX INVOICE,02 Sep 2024,34.0,1.14,38.76,5.81,44.57,44.57,"STOOR, Mielies Dag Stoor - 2024 - Helpmekaar - Witmielies"
Viljoenskroon Silo nr 3,400-424782,Senwes,NEXGRO BEMARKING PTY LTD,9555999098,Tax Credit Memo,15.01.2025,73.149,92.0,6729.71,1009.46,7739.17,7739.17,SACTA Heffing Soja
,GC0058,Procuro Grain (Pty) Ltd,NEXGRO BEMARKING PTY LTD,417,AR Credit Note,13/01/2025,17.04,75.0,1278.0,191.7,1469.7,1469.7,Skoonmaakkoste koring
,GC0020,UNIGRAIN,,2719,Tax Invoice,31/12/2024,395.643,1.3,514.34,77.15,591.49,591.49,Dagtarief koring
,WM1,Nexgro Graanbestuur (Pty) Ltd,NeXgro Bemarking (Pty) Ltd,FS-IN0912,Tax Invoice,2024-12-31,1.0,0.55,0.55,0.08,0.63,0.63,Dec2024 Jaarstoor
Featherbrooke,1609,Milne Trust,Nexgro Bemarking,1609,FAKTUUR,30.06.2024,254.446,84.0,21373.46,3206.02,24579.48,184808.78,Handling IN
Featherbrooke,1609,Milne Trust,Nexgro Bemarking,1609,FAKTUUR,30.06.2024,995.213,140.0,139329.82,20899.47,160229.29,184808.78,Annual Storage OUT
,9052Q1,UNIGRAIN BARLEY,Graan Protem,561452,Tax Credit note,06/11/2024,-48.36,2.0,-96.72,-14.51,-111.23,-111.23,Oordragtarief gars Graan Protem
,9052,UNIGRAIN BARLEY,SENTRAAL-SUID KOOPERASIE Bpk.,26939600,Belasting faktuur,31/10/2024,48.36,2.0,96.72,14.51,111.23,111.23,Oordragtarief gars Graan Protem
,4670140054,Unigrain (Pty) Ltd,,INV0000253,Tax Invoice,2024-10-31,1,32167.24,32167.24,4825.09,36992.33,36992.33,Stoorkostes 459.5321
,4770293480,JJ Potgieter Storage Pty (LTD),Nexgro Bemarking,CRN0000014,Credit Note,30/06/2024,,,64.4,9.66,74.06,74.06,
,4770293480,JJ Potgieter Storage Pty (LTD),Nexgro Bemarking,CRN0000014,Credit Note,30/06/2024,1.0,30.8,30.8,4.62,35.42,74.06,0.220t Slip P227
,4770293480,JJ Potgieter Storage Pty (LTD),Nexgro Bemarking,CRN0000014,Credit Note,30/06/2024,1.0,33.6,33.6,5.04,38.64,74.06,0.240T Slip P228
,,NEXGRO BEMARKING (PTY) LTD,,20241001 2460101658,Belastingfaktuur,2024-10-01,,44.0,44.0,6.6,50.6,,ELEKTRONIESE KOSTE
,,NEXGRO BEMARKING (PTY) LTD,,20241001 2460827171,Belastingfaktuur,2024-10-01,,93.62,93.62,14.04,107.66,,SERTIFIKAAT KOSTE
,,NEXGRO BEMARKING (PTY) LTD,,20241018 2430101048,Belastingfaktuur,2024-10-18,,168.0,168.0,25.2,193.2,,ELEKTRONIESE KOSTE
,,NEXGRO BEMARKING (PTY) LTD,,20241018 2433150,Belastingfaktuur,2024-10-18,,7036.93,7036.93,1055.54,8092.47,,MIELIE OPBERGKOSTE
,,NEXGRO BEMARKING (PTY) LTD,,20241018 2430527173,Belastingfaktuur,2024-10-18,,900.0,900.0,135.0,1035.0,,SERTIFIKAAT KOSTE
,,NEXGRO BEMARKING (PTY) LTD,,20241022 2430101050,Belastingfaktuur,2024-10-22,,372.0,372.0,55.8,427.8,,ELEKTRONIESE KOSTE
,,NEXGRO BEMARKING (PTY) LTD,,20241022 2430827174,Belastingfaktuur,2024-10-22,,1800.0,1800.0,270.0,2070.0,,SERTIFIKAAT KOSTE
,,NEXGRO BEMARKING (PTY) LTD,,20241029 0000073087,Kwitansie (elektroniese fondsoorplasing),2024-10-29,,-2992.2,-2992.2,,-2992.2,,KWITANSIE
,,NEXGRO BEMARKING (PTY) LTD,,20241029 0000073088,Kwitansie (elektroniese fondsoorplasing),2024-10-29,,-335.88,-335.88,,-335.88,,KWITANSIE
,,NEXGRO BEMARKING (PTY) LTD,,20241021 271757243,Belastingfaktuur,2024-10-21,,884.32,884.32,132.64,1016.96,,WITMIELIE DAGTARIEF - 7
,400-401664,Senwes,,9552018724,Tax Invoice,2024-05-08,6.56,72.89,478.16,71.72,549.88,549.88,Verwyder Giftige Sade Soja 2-10%
SILO-FOURIESBURG,852213,OOS VRYSTAAT KAAP,AFGRI,97960,AFSKRIF VAN BELASTINGPAKTUUR,2024/10/08,32660,8.05,262.92,39.44,302.36,302.36,D001412 IMI OPBERGINGSKOST
,852213,UNIGRAIN (PTY) LTD,OOS VRYSTAAT KAAP OPERATIONS LIMITED,146251,BELASTING FAKTUUR - TAX INVOICE,2024/10/16,0.3,3983.0,1194.9,0.0,1194.9,9430.88,GEEL MIELIES - EIE REKENING
,852213,UNIGRAIN (PTY) LTD,OOS VRYSTAAT KAAP OPERATIONS LIMITED,146251,BELASTING FAKTUUR - TAX INVOICE,2024/10/16,2.04,4060.0,8282.4,0.0,8282.4,9430.88,GEEL MIELIES - EIE REKENING
,852213,UNIGRAIN (PTY) LTD,OOS VRYSTAAT KAAP OPERATIONS LIMITED,146251,BELASTING FAKTUUR - TAX INVOICE,2024/10/16,0.3,0.0,0.0,5.17,5.95,9430.88,GEEL MIELIES - EIE REKENING
,852213,UNIGRAIN (PTY) LTD,OOS VRYSTAAT KAAP OPERATIONS LIMITED,146251,BELASTING FAKTUUR - TAX INVOICE,2024/10/16,2.04,0.0,0.0,35.19,40.47,9430.88,GEEL MIELIES - EIE REKENING
Caledon,802962,Overberg Agri Bedrywe (Edms) Bpk,AFRICAN GRAIN INVESTMENTS (PTY) LTD,40100003430/1,Belasting Faktuur,2024-10-31,1000,82351.83,82351.83,12352.77,94704.6,,GARS VOORRAAD CORDRAG ADMIN KOSTE
Caledon,802962,Overberg Agri Bedrywe (Edms) Bpk,AFRICAN GRAIN INVESTMENTS (PTY) LTD,40100003430/1,Belasting Faktuur,2024-10-31,1,4.8,5708.74,856.31,6565.05,,Voorraad vanaf Koper HESG
Caledon,802962,Overberg Agri Bedrywe (Edms) Bpk,AFRICAN GRAIN INVESTMENTS (PTY) LTD,40100003430/1,Belasting Faktuur,2024-10-31,3,4.8,15247.23,2287.09,17534.32,,Voorraad vanaf Koper HESH
Caledon,802962,Overberg Agri Bedrywe (Edms) Bpk,AFRICAN GRAIN INVESTMENTS (PTY) LTD,40100003430/1,Belasting Faktuur,2024-10-31,1,4.8,1617.96,242.69,1860.65,,Voorraad vanaf Koper HESK
Caledon,802962,Overberg Agri Bedrywe (Edms) Bpk,AFRICAN GRAIN INVESTMENTS (PTY) LTD,40100003430/1,Belasting Faktuur,2024-10-31,2,4.8,10516.77,1577.52,12094.29,,Voorraad vanaf Koper HESL
Caledon,802962,Overberg Agri Bedrywe (Edms) Bpk,AFRICAN GRAIN INVESTMENTS (PTY) LTD,40100003430/1,Belasting Faktuur,2024-10-31,1,4.8,81.58,12.24,93.82,,Voorraad vanaf Koper HESW
Caledon,802962,Overberg Agri Bedrywe (Edms) Bpk,AFRICAN GRAIN INVESTMENTS (PTY) LTD,40100003430/1,Belasting Faktuur,2024-10-31,4,4.8,21437.52,3215.63,24653.15,,Voorraad vanaf Koper KADE
Caledon,802962,Overberg Agri Bedrywe (Edms) Bpk,AFRICAN GRAIN INVESTMENTS (PTY) LTD,40100003430/1,Belasting Faktuur,2024-10-31,5,4.8,24416.6,3662.49,28079.09,,Voorraad vanaf Koper KADH
Caledon,802962,Overberg Agri Bedrywe (Edms) Bpk,AFRICAN GRAIN INVESTMENTS (PTY) LTD,40100003430/1,Belasting Faktuur,2024-10-31,1,4.8,2392.36,358.85,2751.21,,Voorraad vanaf Koper KADL
Caledon,802962,Overberg Agri Bedrywe (Edms) Bpk,AFRICAN GRAIN INVESTMENTS (PTY) LTD,40100003430/1,Belasting Faktuur,2024-10-31,1,4.8,534.74,80.21,614.95,,Voorraad vanaf Koper MALH
Caledon,802962,Overberg Agri Bedrywe (Edms) Bpk,AFRICAN GRAIN INVESTMENTS (PTY) LTD,40100003430/1,Belasting Faktuur,2024-10-31,1,4.8,398.33,59.75,458.08,,Voorraad vanaf Koper MALL
Bredasdorp,802836,AFRICAN GRAIN INVESTMENTS (PTY) LTD,Overberg Agri Bedrywe (Edms) Bpk,MINVP401241000501/1,Belasting Faktuur,2024-10-30,1000.0,22760.62,22760.62,3414.09,26174.71,3934976.71,DAY STORAGE BREDASDORP
Napier,802836,AFRICAN GRAIN INVESTMENTS (PTY) LTD,Overberg Agri Bedrywe (Edms) Bpk,MINVP401241000501/1,Belasting Faktuur,2024-10-30,1000.0,69193.59,69193.59,10379.04,79572.63,3934976.71,DAY STORAGE NAPIER
Klipdale,802836,AFRICAN GRAIN INVESTMENTS (PTY) LTD,Overberg Agri Bedrywe (Edms) Bpk,MINVP401241000501/1,Belasting Faktuur,2024-10-30,1000.0,89199.79,89199.79,13379.97,102579.76,3934976.71,DAY STORAGE KLIPDALE
Protem,802836,AFRICAN GRAIN INVESTMENTS (PTY) LTD,Overberg Agri Bedrywe (Edms) Bpk,MINVP401241000501/1,Belasting Faktuur,2024-10-30,1000.0,39161.0,39161.0,5874.15,45035.15,3934976.71,DAY STORAGE PROTEM
Caledon,802836,AFRICAN GRAIN INVESTMENTS (PTY) LTD,Overberg Agri Bedrywe (Edms) Bpk,MINVP401241000501/1,Belasting Faktuur,2024-10-30,1000.0,119016.49,119016.49,17852.47,136868.96,3934976.71,DAY STORAGE CALEDON
Krige,802836,AFRICAN GRAIN INVESTMENTS (PTY) LTD,Overberg Agri Bedrywe (Edms) Bpk,MINVP401241000501/1,Belasting Faktuur,2024-10-30,1000.0,42338.32,42338.32,6350.75,48689.07,3934976.71,DAY STORAGE KRIGE
Klipdale,802836,AFRICAN GRAIN INVESTMENTS (PTY) LTD,Overberg Agri Bedrywe (Edms) Bpk,MINVP401241000501/1,Belasting Faktuur,2024-10-30,40.021,290.0,11605.89,1740.91,13347.0,3934976.71,STOCK CARRY OVER KLIPDALE
Rietpoel,802836,AFRICAN GRAIN INVESTMENTS (PTY) LTD,Overberg Agri Bedrywe (Edms) Bpk,MINVP401241000501/1,Belasting Faktuur,2024-10-30,40.1,290.0,11629.0,1744.35,13373.35,3934976.71,STOCK CARRY OVER RIETPOEL
Bredasdorp,802836,AFRICAN GRAIN INVESTMENTS (PTY) LTD,Overberg Agri Bedrywe (Edms) Bpk,MINVP401241000501/1,Belasting Faktuur,2024-10-30,4952.135,255.0,1263334.28,189419.16,1452753.44,3934976.71,LONG TERM STOCK BREDASDORP
Klipdale,802836,AFRICAN GRAIN INVESTMENTS (PTY) LTD,Overberg Agri Bedrywe (Edms) Bpk,MINVP401241000501/1,Belasting Faktuur,2024-10-30,716.062,255.0,182555.73,27383.37,209939.1,3934976.71,LONG TERM STOCK KLIPDALE
Protem,802836,AFRICAN GRAIN INVESTMENTS (PTY) LTD,Overberg Agri Bedrywe (Edms) Bpk,MINVP401241000501/1,Belasting Faktuur,2024-10-30,650.649,255.0,165914.24,24887.33,190801.57,3934976.71,LONG TERM STOCK PROTEM
Caledon,802836,AFRICAN GRAIN INVESTMENTS (PTY) LTD,Overberg Agri Bedrywe (Edms) Bpk,MINVP401241000501/1,Belasting Faktuur,2024-10-30,634.116,255.0,161719.78,24257.94,185977.72,3934976.71,LONG TERM STOCK CALEDON
Rietpoel,802836,AFRICAN GRAIN INVESTMENTS (PTY) LTD,Overberg Agri Bedrywe (Edms) Bpk,MINVP401241000501/1,Belasting Faktuur,2024-10-30,4877.681,255.0,1244776.06,186711.3,1431487.36,3934976.71,LONG TERM STOCK RIETPOEL
Bredasdorp,802836,AFRICAN GRAIN INVESTMENTS (PTY) LTD,Overberg Agri Bedrywe (Edms) Bpk,MINVP401241000501/1,Belasting Faktuur,2024-10-30,1000.0,22760.62,22760.62,3414.09,26174.71,3934976.71,DAY STORAGE BREDASDORP
Napier,802836,AFRICAN GRAIN INVESTMENTS (PTY) LTD,Overberg Agri Bedrywe (Edms) Bpk,MINVP401241000501/1,Belasting Faktuur,2024-10-30,1000.0,69193.59,69193.59,10379.04,79572.63,3934976.71,DAY STORAGE NAPIER
Klipdale,802836,AFRICAN GRAIN INVESTMENTS (PTY) LTD,Overberg Agri Bedrywe (Edms) Bpk,MINVP401241000501/1,Belasting Faktuur,2024-10-30,1000.0,89199.79,89199.79,13379.97,102579.76,3934976.71,DAY STORAGE KLIPDALE
Protem,802836,AFRICAN GRAIN INVESTMENTS (PTY) LTD,Overberg Agri Bedrywe (Edms) Bpk,MINVP401241000501/1,Belasting Faktuur,2024-10-30,1000.0,39161.0,39161.0,5874.15,45035.15,3934976.71,DAY STORAGE PROTEM
Caledon,802836,AFRICAN GRAIN INVESTMENTS (PTY) LTD,Overberg Agri Bedrywe (Edms) Bpk,MINVP401241000501/1,Belasting Faktuur,2024-10-30,1000.0,119016.49,119016.49,17852.47,136868.96,3934976.71,DAY STORAGE CALEDON
Krige,802836,AFRICAN GRAIN INVESTMENTS (PTY) LTD,Overberg Agri Bedrywe (Edms) Bpk,MINVP401241000501/1,Belasting Faktuur,2024-10-30,1000.0,42338.32,42338.32,6350.75,48689.07,3934976.71,DAY STORAGE KRIGE
Klipdale,802836,AFRICAN GRAIN INVESTMENTS (PTY) LTD,Overberg Agri Bedrywe (Edms) Bpk,MINVP401241000501/1,Belasting Faktuur,2024-10-30,40.021,290.0,11605.89,1740.91,13347.0,3934976.71,STOCK CARRY OVER KLIPDALE
Rietpoel,802836,AFRICAN GRAIN INVESTMENTS (PTY) LTD,Overberg Agri Bedrywe (Edms) Bpk,MINVP401241000501/1,Belasting Faktuur,2024-10-30,40.1,290.0,11629.0,1744.35,13373.35,3934976.71,STOCK CARRY OVER RIETPOEL
Bredasdorp,802836,AFRICAN GRAIN INVESTMENTS (PTY) LTD,Overberg Agri Bedrywe (Edms) Bpk,MINVP401241000501/1,Belasting Faktuur,2024-10-30,4952.135,255.0,1263334.27,189419.16,1452753.43,3934976.71,LONG TERM STOCK BREDASDORP
Klipdale,802836,AFRICAN GRAIN INVESTMENTS (PTY) LTD,Overberg Agri Bedrywe (Edms) Bpk,MINVP401241000501/1,Belasting Faktuur,2024-10-30,716.062,255.0,182555.73,27389.37,209945.1,3934976.71,LONG TERM STOCK KLIPDALE
Protem,802836,AFRICAN GRAIN INVESTMENTS (PTY) LTD,Overberg Agri Bedrywe (Edms) Bpk,MINVP401241000501/1,Belasting Faktuur,2024-10-30,650.649,255.0,165914.24,24887.33,190801.57,3934976.71,LONG TERM STOCK PROTEM
Caledon,802836,AFRICAN GRAIN INVESTMENTS (PTY) LTD,Overberg Agri Bedrywe (Edms) Bpk,MINVP401241000501/1,Belasting Faktuur,2024-10-30,634.116,255.0,161719.78,24254.94,185974.72,3934976.71,LONG TERM STOCK CALEDON
Rietpoel,802836,AFRICAN GRAIN INVESTMENTS (PTY) LTD,Overberg Agri Bedrywe (Edms) Bpk,MINVP401241000501/1,Belasting Faktuur,2024-10-30,4877.681,255.0,1244776.05,186571.3,1431347.35,3934976.71,LONG TERM STOCK RIETPOEL
,802962,OVERBERG,AFRICAN GRAIN INVESTMENTS (PTY) LTD,MCRNP401220200007/1,Kredietnota,2022-02-11,-1.0,2680.94,-2680.94,0.0,-2680.94,-18617.76,RENTE SURPLUS GARS A2046
,802962,OVERBERG,AFRICAN GRAIN INVESTMENTS (PTY) LTD,MCRNP401220200007/1,Kredietnota,2022-02-11,-1.0,123525.27,-142054.06,-18528.79,-142054.06,-18617.76,OPGRADERING
,802962,OVERBERG,AFRICAN GRAIN INVESTMENTS (PTY) LTD,MCRNP401220200007/1,Kredietnota,2022-02-11,-1.0,593.16,-682.13,-88.97,-682.13,-18617.76,KWAL PREM A2046
,802962,OVERBERG,AFRICAN GRAIN INVESTMENTS (PTY) LTD,MCRNP401220200007/1,Kredietnota,2022-02-11,-1.0,52.83,-52.83,0.0,-52.83,-18617.76,RENTE KWAL PREM
Bredasdorp Silo,805247,Overberg Agri Bedrywe (Edms) Bpk,NEXGRO BEMARKING (PTY) LTD,41190001693/1,Kredietnota,2023-11-16,-1,559.1,-559.1,-233.87,-792.97,-792.97,KORING AFGRADERING
Goedgedacht Depot,4910211905,COFCO International South Africa (PTY) LTD,NEXGRO BEMARKING (PTY) LTD,24/1/07881,TAX INVOICE,2024-07-19,1.0,6272.74,6272.74,940.91,7213.65,7213.65,Silobags Storage
Vlaklaagte Grain Depot,627:044764:UNI009,BKB Grainco,UNIGRAIN (PTY) LTD,102427,TAX INVOICE,09/05/24,26.809,25.2,675.58,101.34,776.92,776.92,SOYA - SB1
Vlaklaagte Grain Depot,627:044764:UNI009,BKB Grainco,UNIGRAIN (PTY) LTD,102427,TAX INVOICE,09/05/24,18.064,25.2,455.21,68.28,523.49,776.92,SOYA - SB1
Vlaklaagte Grain Depot,627:044764:UNI009,BKB Grainco,UNIGRAIN (PTY) LTD,102427,TAX INVOICE,09/05/24,8.745,25.2,220.37,33.06,253.43,776.92,SOYA - SB1
Vlaklaagte Grain Depot,627:044764:UNI009,BKB Grainco,UNIGRAIN (PTY) LTD,102427,TAX INVOICE,09/05/24,,,,,,776.92,STORAGE CHARGE
HASSIESDRIFT GRAIN DEPOT,B257201-G301,BKB Grainco,NEXGRO BEMARKING (PTY) LTD,101369,TAX INVOICE,08/04/24,28.149,22.95,646.02,96.9,742.92,742.92,FEED BARLEY - GRADE 1
HASSIESDRIFT GRAIN DEPOT,B257201-G301,BKB Grainco,NEXGRO BEMARKING (PTY) LTD,101369,TAX INVOICE,08/04/24,,,,,,742.92,STORAGE CHARGE
HASSIESDRIFT GRAIN DEPOT,B257201-G301,BKB Grainco,NEXGRO BEMARKING (PTY) LTD,101369,TAX INVOICE,08/04/24,,,,,,742.92,HASSIESDRIFTT
HASSIESDRIFT GRAIN DEPOT,B257201-G301,BKB Grainco,NEXGRO BEMARKING (PTY) LTD,101369,TAX INVOICE,08/04/24,28.149,,,,,742.92,FEED BARLEY:28.149 TON
HASSIESDRIFT GRAIN DEPOT,B257201-G301,BKB Grainco,NEXGRO BEMARKING (PTY) LTD,101369,TAX INVOICE,08/04/24,,,,,,742.92,DAY STORAGE@R1.35/TON TO 080424
Bronkhorstspruit silo,9405257,AFGRI Grain Silo Company (Pty) Ltd,NEXGRO BERMARKING (PTY) LTD,9001862306,Invoice,31 Oct 2024,1000,9.9,9.9,1.49,11.39,11.39,SOYA BEAN STORAGE COST
Kendal Siloco,2811894,AFGRI Grain Silo Company (Pty) Ltd,UNIGRAIN (PTY) LTD,9001811822,COPY TAX CREDIT NOTE,03 May 2024,1018.895,143.23,145936.33,21890.45,167826.78,167826.78,MAIZE YELLOW SEASON TARIFF SEISOENSTARIEF 30/4 DocNo: 76452 MBIC: 0044-YM1
,V00006BUNI,NWK BEPERK / LIMITED,UNIGRAIN (PTY) LTD,5100012367,KREDIETNOTA,2024-07-10,,,-532291.83,,-612135.61,,SBLOM LEWERINGS NWI KONTRAK
,V00006BUNI,NWK BEPERK / LIMITED,UNIGRAIN (PTY) LTD,5100012367,KREDIETNOTA,2024-07-10,,,-35814.95,,-41187.19,,SBLOM LEWERINGS NWI KONTRAK
,V00006BUNI,NWK BEPERK / LIMITED,UNIGRAIN (PTY) LTD,5100012367,KREDIETNOTA,2024-07-10,,,-186384.59,,-214342.28,,SBLOM LEWERINGS NWI KONTRAK
,V00006BUNI,NWK BEPERK / LIMITED,UNIGRAIN (PTY) LTD,5100012367,KREDIETNOTA,2024-07-10,,,-181437.92,,-208653.61,,SBLOM LEWERINGS NWI KONTRAK
,V00006BUNI,NWK BEPERK / LIMITED,UNIGRAIN (PTY) LTD,5100012367,KREDIETNOTA,2024-07-10,,,-128654.37,,-147952.53,,SBLOM LEWERINGS NWI KONTRAK
,023559,UNIGRAIN COMMODITIES (PTY) LTD,KAAP AGRI BEDRYF BEPERK,66/GOJ00012431,AFSKRIF GOEDERE TERUGSENDINGS NOTA,31/01/2024,1.0,669.25,669.25,100.39,769.64,769.64,SILODIENS INKOM: Silokoste op Ser
